file_id,label,file_id_N,api_unique,tid_unique,rv_unique
3352,3,16037,102,75,199
3353,3,4542,75,27,45
3357,0,61,20,3,13
3358,0,945,51,2,43
3364,0,30893,90,41,141
3367,0,4799,59,24,95
3372,5,870,65,13,37
3378,0,102,23,2,14
3379,0,1452,57,5,42
3393,2,1324,34,4,12
3394,2,260,29,1,10
3395,2,80,13,2,5
3396,2,1953,36,3,14
3429,0,20080,112,26,198
3432,0,335,34,1,60
3436,1,480,45,6,22
3437,0,328,37,1,45
3452,0,16,8,1,3
3455,0,7,4,1,2
3456,0,825,29,1,57
3481,0,2563,73,5,75
3482,0,828,52,3,29
3486,5,72,9,3,4
3487,5,684,38,1,66
3488,5,15003,66,9,316
3489,5,3774,63,3,87
3495,5,7923,44,14,24
3496,3,1939,45,23,38
3497,5,11844,88,51,105
3498,5,257,32,1,12
3499,0,20004,41,8,146
3517,0,2693,50,4,123
3519,0,41,19,1,5
3527,0,10002,98,16,396
3529,0,16,7,1,3
3533,0,3,3,1,2
3536,0,101,27,1,9
3538,2,268,30,1,11
3539,2,2596,36,4,15
3550,0,865,53,3,29
3554,0,9548,60,5,35
3556,0,44,18,3,13
3559,0,86,8,2,5
3562,0,18324,62,18,57
3574,0,358,36,1,55
3579,0,3909,52,8,229
3590,0,230,19,1,17
3598,5,6333,59,17,49
3610,0,1365,45,2,122
3616,0,15285,93,11,186
3639,0,443,35,1,75
3645,0,5001,95,12,63
3660,0,86,15,1,6
3676,0,40596,147,73,723
3677,2,536,30,2,11
3678,2,1854,30,7,10
3679,2,1324,34,4,12
3695,0,11392,122,35,146
3700,2,3601,61,34,30
3707,0,730,35,5,17
3710,0,1462,65,6,60
3712,0,44,18,3,13
3718,0,3311,94,13,88
3749,0,44,18,3,13
3752,0,118,25,1,14
3753,0,3173,85,20,85
3757,0,28,13,1,5
3767,0,1030,34,2,74
3774,0,16,9,1,9
3787,0,572,43,7,16
3790,0,868,48,7,32
3793,0,420,43,4,16
3794,0,1103,65,6,46
3797,0,233,19,1,17
3812,0,52,18,3,14
3813,0,590,53,4,33
3820,0,16,9,1,9
3841,0,14934,114,60,609
3862,2,1030,30,5,10
3863,2,2317,34,5,12
3870,0,4258,78,10,93
3875,0,458,41,1,49
3881,0,20004,54,10,28
3883,0,899,50,4,31
3892,0,6968,58,6,29
3898,0,1142,29,1,120
3901,0,47,15,1,4
3906,0,1045,63,4,46
3907,0,118,24,1,12
3908,0,5001,75,6,75
3915,0,542,19,3,15
3918,0,3141,80,12,94
3930,0,147,33,1,15
3943,0,1178,62,6,50
3961,0,19,7,1,3
3977,0,986,37,1,22
3979,1,1934,45,23,39
3980,5,58449,156,254,650
3981,5,19359,103,67,167
3982,5,4,1,4,1
3991,0,20730,67,23,182
3992,5,10856,65,20,113
3993,5,13881,84,23,93
4003,0,486,50,6,19
4004,0,16,9,1,9
4023,0,54,18,3,13
4029,5,3,1,3,1
4030,5,12398,79,19,84
4031,5,6,2,3,1
4033,3,12285,96,59,189
4047,0,54,13,2,9
4050,0,455,43,3,58
4059,0,18,5,2,2
4064,0,719,53,3,29
4066,0,198,33,3,22
4080,1,438,22,4,17
4084,0,2425,66,7,33
4100,0,5001,40,1,45
4115,0,5001,57,5,119
4144,0,12146,86,28,247
4162,0,302,38,1,28
4180,0,3686,41,1,95
4191,0,1771,74,7,63
4192,0,60,18,3,16
4195,0,4269,80,12,61
4196,5,520,50,1,49
4197,5,5001,62,2,153
4198,5,4,1,4,1
4207,0,103,13,1,8
4215,0,29,13,1,4
4219,5,20468,75,13,139
4238,0,29,13,2,10
4243,0,470,36,2,13
4245,0,14,6,1,1
4253,0,16,9,1,9
4262,5,5001,60,4,130
4264,0,1804,66,7,90
4282,0,129,23,6,7
4297,5,5001,62,2,141
4307,0,1049,52,3,29
4309,0,241,24,2,11
4312,5,20004,42,8,175
4313,5,224,28,4,17
4314,5,2604,64,3,29
4315,5,4732,66,8,45
4317,0,16,9,1,9
4326,0,82,16,1,6
4336,0,41,13,1,6
4349,0,44,18,3,13
4367,0,673,34,2,55
4383,0,48,17,1,5
4388,0,887,52,3,30
4391,0,2007,70,7,33
4403,0,5001,11,1,5
4413,0,97,19,3,15
4414,0,15422,112,18,166
4436,0,443,37,1,57
4442,0,25,11,1,9
4444,0,439,41,1,49
4469,0,3636,21,2,6
4487,0,19,11,1,9
4488,3,18195,104,92,213
4489,3,7312,77,34,66
4490,3,25163,117,119,373
4492,0,3167,79,9,85
4494,3,17821,123,97,303
4507,0,815,56,3,29
4518,0,22,11,1,9
4521,0,158,17,2,7
4528,0,1568,58,4,45
4541,0,455,41,1,46
4545,5,9035,94,108,106
4550,0,5001,63,2,63
4553,0,4729,62,5,45
4621,0,698,54,10,52
4624,5,1941,51,3,35
4636,2,795,11,5,3
4637,2,1308,34,4,11
4641,0,15003,67,9,60
4650,0,29,12,1,6
4652,0,4137,50,20,323
4662,5,325,19,8,7
4668,0,44,18,3,13
4669,0,16,9,1,9
4684,0,2316,66,5,54
4696,2,5001,8,1,8
4697,2,993,34,3,12
4716,0,1329,49,2,83
4720,0,2970,77,9,92
4725,0,239,31,1,30
4731,0,4464,48,6,86
4733,0,463,32,1,116
4741,0,99,21,1,8
4747,0,26,13,1,4
4752,0,125,20,1,9
4756,0,4157,52,3,19
4772,0,22,11,1,9
4774,0,328,37,1,45
4785,0,5001,57,3,119
4791,5,1180,41,6,65
4807,5,20440,50,16,323
4808,5,2122,39,3,15
4810,0,2872,84,12,86
4813,0,15003,124,48,268
4815,0,168,29,2,8
4820,0,3194,46,1,111
4837,0,10657,98,21,136
4838,0,300,28,2,17
4848,2,268,30,1,11
4849,2,1324,34,4,12
4850,2,107966,116,415,1038
4851,2,4,1,4,1
4861,0,44,18,3,13
4872,0,2461,36,1,8
4891,0,15003,66,9,65
4895,5,1296,28,2,10
4896,5,3036,57,8,140
4897,5,10002,91,23,171
4903,2,4870,33,8,12
4905,1,511,22,5,17
4906,2,11258,39,32,17
4907,0,104,33,1,14
4910,0,836,53,3,29
4936,0,106,25,4,19
4976,0,3129,42,4,79
4981,0,2,1,2,1
4984,0,16,9,1,10
4992,0,22,11,1,9
5000,2,1796,32,8,14
5001,3,12547,93,58,145
5011,0,753,30,6,10
5022,0,49,15,1,5
5038,0,8572,103,21,120
5047,5,1746,47,1,95
5055,0,555,49,2,23
5059,2,1901,54,6,25
5060,3,13809,97,61,172
5061,3,10479,97,50,129
5066,0,145,35,1,15
5083,0,57,18,3,15
5086,0,13,6,1,3
5087,0,44,18,3,13
5110,0,676,34,11,11
5130,0,5001,60,3,946
5133,0,324,37,1,45
5152,5,53751,131,349,536
5156,5,1779,55,3,47
5177,0,92,28,3,21
5183,0,429,46,1,52
5201,0,4729,76,12,59
5206,5,7475,79,23,120
5218,0,5612,90,11,111
5221,0,40160,115,44,597
5224,0,5120,68,6,51
5227,0,27923,81,28,180
5233,0,105,21,1,7
5236,0,40,18,1,5
5239,0,2130,63,10,56
5242,0,5001,80,3,162
5256,5,3221,59,3,57
5267,0,44,18,3,13
5275,0,8737,109,19,120
5295,0,16,9,1,10
5304,0,2777,77,9,90
5310,0,71,10,1,5
5316,0,3212,70,4,167
5330,0,17985,105,32,95
5331,5,195,34,2,13
5332,5,9427,111,116,499
5355,0,16,9,1,9
5369,0,54,18,1,3
5382,0,44,18,3,13
5389,0,136,28,3,20
5390,0,5265,76,4,102
5399,0,1300,66,1,44
5401,0,293,32,1,20
5420,0,912,40,2,55
5422,0,538,29,2,6
5461,0,856,42,2,55
5464,0,61,10,1,3
5485,0,124,24,1,12
5492,0,2043,70,6,57
5499,5,8,2,4,1
5500,5,4,2,2,1
5501,5,16467,98,148,116
5511,0,102,24,3,15
5515,0,22,11,1,9
5526,0,37,5,1,3
5544,0,2853,80,12,96
5550,5,462,33,1,12
5562,0,656,24,2,75
5566,0,41,19,1,5
5577,0,4613,54,5,28
5581,0,5001,110,14,245
5613,0,6093,70,7,108
5625,5,3,1,3,1
5626,5,2068,49,6,17
5627,5,1635,55,3,34
5628,5,5580,86,5,109
5631,0,10002,70,7,171
5634,0,858,35,1,18
5636,5,17896,51,11,101
5637,0,263,41,1,10
5640,0,3063,49,4,82
5641,0,40,11,1,5
5671,0,9530,74,6,69
5672,0,1068,51,1,45
5673,0,45,18,3,14
5687,0,5001,69,3,57
5688,0,1631,52,6,30
5702,0,4741,68,5,33
5712,0,5504,69,7,212
5722,0,50,19,1,12
5731,0,5001,24,1,19
5733,0,22,11,1,9
5737,0,28,12,1,4
5760,0,16,9,1,10
5766,0,47,8,2,5
5767,0,10002,64,4,329
5776,1,1879,45,25,42
5777,1,504,45,6,22
5778,1,143664,163,259,1829
5780,0,11990,133,26,297
5781,0,119,24,1,11
5806,1,484,46,7,21
5807,2,1096,31,4,13
5809,0,851,48,6,32
5816,0,19034,70,13,89
5821,0,27711,62,29,47
5823,0,1055,53,3,31
5824,0,1966,70,7,64
5833,0,58,17,1,4
5850,0,10002,80,8,284
5851,0,20004,68,12,121
5852,0,19973,67,9,66
5856,2,1038,62,11,29
5861,0,481,51,4,57
5866,0,5624,65,6,165
5880,0,2375,61,2,129
5884,0,44,18,3,13
5890,0,272,26,4,7
5891,0,43,18,3,14
5895,0,5001,89,11,78
5898,0,4663,63,4,48
5903,0,5402,66,11,82
5936,0,37,8,1,3
5944,0,5578,74,9,77
5951,0,16,9,1,10
5981,0,9950,70,6,57
6005,0,661,54,5,26
6007,0,675,53,2,50
6008,0,988,52,4,25
6009,5,4,1,4,1
6010,5,4263,87,5,64
6011,5,4,1,4,1
6012,5,257,32,1,12
6020,0,347,36,2,21
6022,0,522,45,1,42
6028,0,56,19,3,13
6030,0,16,9,1,10
6034,0,69,21,3,14
6049,0,2133,46,4,31
6050,0,190,29,2,12
6056,0,1727,68,6,56
6059,0,47,17,1,5
6060,0,1283,61,8,45
6061,2,704,44,8,18
6076,5,19994,104,36,148
6077,5,2,2,1,1
6110,0,22,11,1,9
6116,0,43,18,3,14
6143,0,5001,61,3,151
6144,0,8631,68,8,238
6157,0,147,30,1,14
6158,0,5001,85,12,75
6173,0,25005,62,14,80
6187,0,844,53,3,29
6198,0,3177,78,9,84
6202,0,72,17,3,14
6205,0,1612,59,3,38
6213,0,25,12,1,10
6218,1,292,22,4,15
6219,2,268,30,1,11
6227,5,3555,66,6,40
6228,5,27776,136,274,339
6231,0,477,50,1,38
6232,0,977,37,3,75
6235,0,2836,80,12,94
6247,0,2523,64,8,44
6255,0,448,38,5,18
6259,5,511,36,1,59
6272,5,5001,54,1,144
6278,0,22,11,1,9
6285,2,12976,61,44,62
6286,1,15684,59,10,54
6292,0,853,57,3,29
6298,0,115,17,1,5
6307,5,21936,55,16,312
6308,5,3579,65,6,39
6314,0,22,11,1,2
6320,5,8,2,4,1
6321,5,1302,34,2,65
6331,0,1196,23,4,12
6338,0,10002,54,6,24
6347,0,90,13,4,12
6356,0,9247,65,6,39
6360,2,993,34,3,12
6361,3,8039,78,39,72
6363,0,4940,61,4,301
6366,5,17587,60,11,95
6367,5,420,20,4,9
6368,5,19141,75,42,62
6406,0,16,9,1,9
6410,0,46,18,3,13
6417,0,39,15,1,10
6425,0,119,27,2,7
6432,0,94,14,4,6
6433,0,261,40,2,21
6441,1,24597,66,55,36
6454,0,97,20,3,20
6464,0,43,18,3,14
6469,0,43,16,3,14
6477,0,8203,87,25,234
6494,0,10002,110,13,226
6520,0,10002,64,5,41
6532,5,2652,64,3,29
6549,0,28,12,1,8
6550,0,42,8,2,12
6567,0,1368,59,3,37
6575,1,20424,75,95,171
6586,0,5078,51,3,62
6588,0,27,11,1,3
6597,0,5001,60,3,38
6608,0,650,34,2,32
6625,5,3290,35,5,186
6626,5,25006,79,32,140
6644,0,130,21,2,14
6656,0,848,39,2,63
6664,0,97,11,1,4
6667,0,1289,62,6,52
6670,0,972,33,1,80
6678,0,14603,86,25,149
6682,0,1916,32,3,14
6685,0,124,24,1,11
6696,0,23,11,1,9
6722,0,22,11,1,9
6726,0,351,36,1,56
6730,0,355,36,1,56
6735,0,43,18,3,14
6737,0,10,5,1,1
6741,0,43,18,3,14
6747,0,119,24,1,12
6749,0,3051,84,12,91
6759,0,3019,60,4,64
6769,0,643,54,1,42
6810,0,1052,56,3,25
6815,0,122,24,1,12
6819,0,322,37,1,43
6838,0,10002,85,10,319
6851,0,494,55,5,36
6865,0,389,37,2,44
6867,0,238,24,2,12
6868,0,447,25,1,99
6876,2,18675,67,36,48
6877,2,64029,144,280,580
6888,2,87241,110,181,739
6889,0,17,9,1,3
6895,0,247,38,1,10
6898,0,44,18,3,13
6914,0,20004,86,35,71
6920,0,1640,51,1,32
6925,0,1451,64,6,57
6934,0,470,12,1,5
6946,0,4462,69,19,74
6949,0,2108,79,3,121
6953,0,25005,66,15,76
6956,0,351,36,1,56
6957,0,856,6,1,2
6971,0,28,14,1,11
6982,0,646,37,2,59
7007,0,6348,97,91,171
7016,0,328,37,1,45
7024,0,441,45,2,52
7058,0,56,18,3,13
7064,0,16,9,1,9
7065,0,23901,70,26,174
7071,5,7799,67,9,79
7072,5,10550,73,17,407
7076,0,56,18,3,13
7080,0,488,38,4,15
7087,0,362,24,3,11
7089,0,1046,62,6,46
7093,0,44,18,3,13
7100,0,44,18,3,13
7101,0,4429,77,3,39
7104,0,86,20,2,19
7106,5,228,28,2,13
7123,0,121,24,1,11
7126,0,89,12,1,4
7141,0,423,39,1,49
7144,0,44,18,3,13
7153,0,226,34,3,28
7155,0,2849,83,12,87
7168,0,1590,66,10,50
7173,2,4055,52,11,36
7174,2,268,30,1,11
7183,0,14018,62,15,43
7211,0,28,16,1,8
7214,0,1215,70,11,85
7231,0,15288,93,17,113
7244,5,2,2,1,1
7245,5,112,15,3,5
7246,5,20004,44,4,128
7247,5,6,2,3,1
7252,5,13,5,2,2
7253,5,3279,80,7,58
7257,0,143,24,1,10
7280,0,5001,51,3,17
7290,0,788,57,6,53
7297,0,4637,61,3,35
7306,0,268,34,1,31
7307,0,2875,83,12,89
7313,0,22,11,1,9
7323,0,111,17,3,13
7324,3,13047,96,58,156
7328,5,11502,114,108,133
7329,5,3,1,3,1
7341,0,329,19,1,8
7344,0,8553,104,23,147
7351,0,66,11,1,2
7352,0,14959,62,13,42
7372,0,46,18,3,13
7375,0,4811,62,5,34
7376,0,45,13,2,12
7390,5,11410,103,24,113
7391,5,9186,69,16,66
7392,5,1027,65,2,29
7393,0,5518,88,8,257
7396,0,832,53,3,29
7403,0,1506,61,5,31
7415,0,9744,102,14,120
7447,0,38,6,1,3
7453,0,16,9,1,10
7458,2,268,30,1,11
7459,2,80,9,5,3
7460,2,1519,33,5,10
7461,0,4661,38,3,259
7467,5,11662,128,115,147
7471,0,213,38,2,16
7480,0,355,36,1,56
7495,0,43,18,3,14
7503,0,16,9,1,9
7505,0,23399,99,79,325
7507,0,121,24,1,11
7509,0,1470,50,3,60
7513,0,16,9,1,9
7519,0,43,18,3,14
7532,0,44,18,3,13
7534,0,253,39,1,40
7559,0,173,29,3,15
7580,0,44,18,3,13
7585,0,95,22,1,13
7592,0,8652,62,18,119
7622,0,648,37,2,61
7626,0,44,18,3,13
7630,0,10458,92,16,173
7634,2,331,34,1,12
7635,2,11488,67,16,46
7644,0,73,12,1,7
7650,0,14900,95,37,287
7654,5,213,25,6,6
7655,5,34667,87,64,149
7674,5,4130,49,3,134
7675,5,2481,61,3,70
7676,5,6703,64,3,136
7677,5,6830,87,9,151
7679,0,22,11,1,9
7693,2,327,34,1,11
7712,0,5571,100,21,101
7714,1,73,22,1,11
7715,2,64,9,4,3
7721,0,81,19,1,9
7725,0,22,11,1,9
