file_id,apiapi_1,apiapi_2,apiapi_3,apiapi_4,apiapi_5,apiapi_6,apiapi_7,apiapi_8,apiapi_9,apiapi_10,apiapi_11,apiapi_12,apiapi_13,apiapi_14,apiapi_15,apiapi_16,apiapi_17,apiapi_18,apiapi_19,apiapi_20,apiapi_21,apiapi_22,apiapi_23,apiapi_24,apiapi_25,apiapi_26,apiapi_27,apiapi_28,apiapi_29,apiapi_30,apiapi_31,apiapi_32,apiapi_33,apiapi_34,apiapi_35,apiapi_36,apiapi_37,apiapi_38,apiapi_39,apiapi_40,apiapi_41,apiapi_42,apiapi_43,apiapi_44,apiapi_45,apiapi_46,apiapi_47,apiapi_48,apiapi_49,apiapi_50,apiapi_51,apiapi_52,apiapi_53,apiapi_54,apiapi_55,apiapi_56,apiapi_57,apiapi_58,apiapi_59,apiapi_60,apiapi_61,apiapi_62,apiapi_63,apiapi_64,apiapi_65,apiapi_66,apiapi_67,apiapi_68,apiapi_69,apiapi_70,apiapi_71,apiapi_72,apiapi_73,apiapi_74,apiapi_75,apiapi_76,apiapi_77,apiapi_78,apiapi_79,apiapi_80,apiapi_81,apiapi_82,apiapi_83,apiapi_84,apiapi_85,apiapi_86,apiapi_87,apiapi_88,apiapi_89,apiapi_90,apiapi_91,apiapi_92,apiapi_93
43,353,425,704,537,410,36,20,91,36,0,1,0,1,11,29,57,40,0,24,73,0,40,58,0,52,2,0,43,0,11,16,56,73,127,0,6,57,2,23,36,1,0,2,11,2,43,0,22,22,0,0,0,1,46,0,0,0,0,1,0,0,54,0,0,25,0,2,0,0,3,9,8,0,6,0,0,0,32,25,0,19,0,10,0,0,0,0,0,1,0,0,0,3
44,28,28,6,4,14,0,0,2,7,0,0,0,0,1,8,0,9,0,4,4,0,0,0,0,1,1,0,6,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
82,3,0,0,0,3,2,0,0,1,0,0,0,0,1,3,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3,0,0,0,12,0,0,4,1,0,0,0,0,0,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,264,196,343,354,47,100,6,104,8,0,0,13,0,72,13,98,24,7,67,33,6,0,0,0,9,42,6,13,0,0,82,14,20,1,2,93,9,3,10,5,0,0,7,5,0,14,3,17,0,1,1,1,1,1,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,2,0,5,1,0,0,16,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
106,3,0,0,0,3,2,0,0,1,0,0,0,0,1,3,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4,0,0,0,1,0,1,6,1,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,64,33,129,81,127,83,84,68,13,0,1,1,0,9,35,9,30,78,1,42,17,0,0,0,0,0,24,1,0,0,0,17,80,1,29,0,10,21,5,0,0,3,0,0,0,0,0,5,7,1,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,98,25,76,27,67,9,0,83,24,0,15,0,16,25,30,21,32,0,14,29,0,0,0,0,20,20,0,20,0,0,16,10,13,0,0,0,2,10,10,0,97,0,0,2,15,5,12,4,2,7,0,4,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,2
142,400,1183,808,584,89,384,44,217,18,0,0,146,8,106,33,207,60,34,133,37,12,0,0,0,77,203,10,0,0,0,72,18,19,2,4,74,14,0,15,72,0,0,11,9,18,28,60,27,0,2,2,2,0,2,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,25,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
146,29,0,2,3,40,0,19,13,11,0,0,0,31,1,31,7,8,0,3,15,31,0,33,0,2,0,31,0,0,37,0,3,0,0,3,0,2,3,1,0,2,0,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,20,0,0,0,0,0,4,0,3,0
153,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6,0,0,3,2,0,0,0,2,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,249,170,216,203,219,34,2,67,26,0,0,0,0,5,28,26,30,0,11,39,0,1,3,0,18,2,0,17,0,4,10,37,12,3,0,5,48,5,13,15,2,0,2,4,0,38,0,8,3,0,0,0,4,34,0,0,0,0,0,0,0,45,0,0,15,0,2,0,0,0,4,3,0,20,0,0,0,12,12,0,34,0,6,0,0,0,0,0,1,0,0,0,3
162,303,277,367,260,248,13,507,54,116,0,106,0,105,21,14,21,15,0,29,69,57,238,573,0,17,1,2,17,0,167,6,26,12,633,0,4,21,34,13,9,2,2,8,6,3,29,1,16,6,7,0,0,1,25,0,1,0,0,1,0,0,28,0,0,9,29,1,0,0,0,2,15,0,9,0,55,55,22,18,0,10,0,3,0,0,0,0,0,1,0,0,0,1
163,381,42,12,9,138,4,12,27,43,0,0,4,0,6,82,16,57,0,7,103,0,18,0,0,15,0,0,6,0,3,6,6,0,0,3,0,4,0,6,42,0,0,0,3,0,0,3,0,0,0,0,3,0,56,0,0,0,0,3,0,0,10,0,0,51,0,0,0,0,30,34,0,0,3,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0
181,80,18,26,22,86,7,0,32,37,0,3,0,13,14,50,3,38,0,4,27,0,0,0,0,19,11,0,23,0,0,0,7,5,0,0,0,2,5,7,13,34,0,0,0,4,4,1,1,2,3,5,3,5,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,3,2,0,0,0,0,0,0,0,0,3
182,2,0,0,0,6,2,0,3,0,0,0,0,0,1,5,1,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,104,192,275,296,126,44,9,31,271,0,1,3,0,15,33,18,30,48,5,59,581,0,14,3,14,0,559,263,0,14,9,9,34,17,72,4,3,14,6,6,5,2,0,70,2,0,1,10,2,3,0,1,0,8,1,4,0,19,0,0,0,9,3,0,0,11,0,11,0,0,0,7,0,3,7,25,25,6,13,0,0,0,2,0,9,0,0,2,7,0,0,0,0
202,2449,155,147,179,477,9,0,78,12,0,6,88,0,330,25,35,65,382,147,70,0,2,0,25,34,3313,0,17,0,0,4,267,5,0,132,270,261,0,267,2042,0,0,0,21,6,0,0,6,0,1,0,6,0,23,3,10,43,39,0,0,0,15,316,0,6,29,7,0,0,34,48,12,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,48,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,904,12,188,21,151,5,886,53,651,0,982,3,857,95,14,5,51,0,36,52,93,371,644,0,2,8,7,6,0,162,16,36,4,451,32,0,28,13,34,0,10,4,43,0,0,20,33,16,41,34,0,1,1,18,0,1,0,0,0,2,0,13,0,0,0,3,0,0,0,0,2,18,0,6,2,14,89,16,18,0,8,0,0,27,0,0,0,0,0,0,0,0,0
216,6,0,2,2,34,0,0,3,5,0,0,0,0,0,29,1,5,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
252,249,1,4,2,50,4,0,198,15,0,0,22,0,6,32,2,17,0,5,43,2,7,0,0,0,1,2,1,0,0,4,189,0,1,1,0,187,7,185,1,0,0,0,1,4,1,0,2,0,1,0,13,0,6,0,5,0,5,1,0,0,3,0,0,9,1,1,0,0,0,21,2,0,2,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2
257,49,22,38,25,48,5,0,47,9,0,9,0,10,14,19,13,5,0,11,23,0,0,0,0,16,11,0,8,0,0,11,5,7,0,0,0,2,0,5,0,52,0,0,1,7,4,1,1,2,5,0,3,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
264,491,17,55,32,243,170,44,275,12,1515,0,86,0,187,82,157,24,163,2,53,10,0,0,0,193,8,12,0,0,0,98,142,54,2,3,74,143,16,138,23,0,126,0,5,52,0,108,2,0,140,0,2,0,5,0,1,74,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,7,0,0,0,4,0,0,0,0,0,1,20,0,0,0
291,20,6,10,11,34,0,0,3,0,0,0,0,0,1,29,1,0,0,1,3,5,0,0,0,2,0,4,1,0,0,0,2,0,0,0,0,0,0,1,5,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,584,0,0,0
298,473,4,7,5,4,0,0,7,471,0,1,0,0,0,4,0,469,0,1,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,146,4,14,18,601,16,870,64,19,0,0,2,0,30,15,21,25,42,0,107,8,0,0,0,4,0,20,3,0,2,16,10,8,0,70,14,0,4,10,6,0,0,0,8,40,0,4,0,82,0,0,8,0,19,0,0,0,0,2,2,1055,8,0,0,13,0,3,0,0,0,6,0,0,6,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,2,0,0,4
303,3,0,0,0,12,0,0,4,1,0,0,0,0,0,13,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,404,17,61,36,225,143,28,256,6,1346,0,76,0,154,71,164,15,163,2,38,8,0,0,0,143,8,11,0,0,0,78,119,52,1,38,54,105,14,115,19,0,97,0,3,38,0,76,1,43,112,0,1,0,5,0,1,56,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,3,0,0,0,0,0,1,13,0,0,0
312,171,52,105,69,638,17,751,100,7,0,0,3,0,20,18,61,21,2,1,149,9,0,418,0,2,0,17,4,0,107,12,21,70,0,38,13,8,23,9,7,0,0,0,12,126,0,0,4,41,1,0,6,0,7,0,0,0,0,0,1,1149,0,0,0,14,1,3,0,0,0,3,0,0,8,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,204,4
313,26,4,5,4,13,0,0,0,1,0,0,0,0,16,8,0,1,0,1,8,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,14,1,15,0,2,0,0,1,0,0,10,0,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
315,26,4,5,4,13,0,0,0,1,0,0,0,0,16,8,0,1,0,1,8,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,14,1,15,0,2,0,0,1,0,0,10,0,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
317,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,92,64,107,103,59,1,5,32,1,0,1,0,0,17,20,6,9,0,11,19,4,0,0,0,12,10,5,8,0,0,0,5,20,1,1,0,8,3,2,6,5,0,0,2,1,1,0,7,0,0,0,0,1,9,0,3,0,13,2,1,0,6,2,0,2,7,0,0,0,0,0,4,0,5,1,1,2,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
344,45,9,32,16,29,39,1,12,7,0,2,231,2,13,11,2,7,0,6,11,36,0,0,0,1,0,0,14,0,0,0,1,0,0,0,1,1,21,1,0,0,0,0,0,0,6,1,0,0,0,7,1,0,11,0,0,0,0,0,8,0,0,0,35,5,0,3,0,0,0,0,0,0,2,0,36,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,56,5,26,14,325,0,16,23,1,0,0,1,0,6,28,12,4,0,0,20,31,0,3,0,2,0,32,1,0,70,5,5,27,0,18,0,2,7,3,2,0,0,0,7,23,0,4,1,0,0,0,2,0,2,1,1,0,0,2,0,817,0,0,0,4,0,1,0,0,0,0,0,0,3,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,105,0,6,1
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
348,207,38,91,71,1089,92,188,324,4,0,3,4,0,8,70,124,18,0,0,49,130,0,7,15,8,0,126,6,0,314,106,5,55,0,48,94,3,5,2,18,0,0,0,17,40,0,8,5,0,0,0,2,0,10,32,9,0,107,6,0,2054,8,0,0,2,8,0,0,0,0,0,5,0,2,4,6,0,0,1,30,0,0,6,0,18,4,4,12,15,192,0,113,2
363,619,4,13,9,50,57,64,18,106,0,175,3,176,19,2,8,11,50,19,23,19,427,0,0,0,439,20,436,0,44,435,6,1,163,3,0,2,4,2,0,1,0,2,0,0,0,7,2,1,0,0,1,1,3,0,0,0,0,0,2,0,4,1,0,0,0,1,0,0,0,6,1,0,5,1,0,0,1,1,0,4,0,0,20,0,0,0,0,0,0,0,0,0
367,230,192,316,342,43,147,0,40,7,0,0,103,3,61,14,37,21,5,67,15,2,0,0,0,27,43,2,0,0,0,39,11,0,0,1,40,7,0,9,36,0,0,7,4,1,14,23,16,0,1,1,1,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
380,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,48,16,26,19,52,3,0,39,13,0,7,0,8,14,24,7,14,0,9,18,0,0,0,0,8,9,0,7,0,0,9,7,11,0,0,0,2,1,7,0,33,0,0,0,5,4,2,1,2,3,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1
395,44,13,21,28,37,0,2,15,2,0,0,3,0,3,11,7,2,2,6,22,4,0,0,0,0,1,5,2,0,0,4,0,1,1,8,0,2,0,0,2,2,0,0,8,2,3,0,2,1,2,0,0,0,9,0,4,0,15,3,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,10,0,0,0,4,0,0,1,4,0,0,1,0,4,3,0,4,0,3,3,0,1,0,0,4,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,17,4,26,10,29,4,4,5,0,0,0,0,0,7,21,1,2,4,1,8,21,0,0,0,9,0,22,2,0,0,1,6,20,0,0,0,2,5,4,0,1,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
411,3,0,0,0,3,2,0,0,1,0,0,0,0,2,3,0,1,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,922,44,127,91,564,296,96,454,24,4420,0,124,0,312,152,323,49,352,8,126,26,0,0,0,316,16,30,0,0,0,180,240,124,4,136,108,233,34,232,56,0,196,0,12,112,0,180,4,164,225,0,4,0,12,0,4,112,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,16,0,0,0,8,0,0,0,0,0,4,44,0,0,0
418,21,0,0,1,16,1,0,7,11,0,13,0,10,2,1,5,6,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
423,813,1710,1369,1203,236,328,0,587,29,0,0,3,0,329,143,483,106,17,357,46,4,0,0,0,31,302,4,170,0,0,156,38,0,0,4,150,38,4,33,48,0,0,275,9,2,56,8,63,0,3,4,4,4,10,0,0,0,0,0,16,0,16,0,0,6,0,57,0,0,0,0,4,0,26,0,0,0,65,9,0,32,0,0,0,0,0,0,0,0,0,0,0,0
437,20,5,29,22,18,1,7,8,1,0,0,0,0,2,2,3,5,0,0,7,12,0,0,0,0,0,12,0,0,0,0,4,21,1,9,0,2,3,2,0,0,1,0,18,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
448,5,0,0,0,20,2,0,5,0,0,0,0,0,1,20,1,0,1,2,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,10,1,1,7,13,2,5,10,1,0,0,0,0,2,12,2,2,1,2,8,7,0,0,0,2,0,5,1,0,1,0,1,0,1,4,0,0,1,1,0,0,0,0,5,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
455,209,199,324,347,65,53,0,154,27,0,0,10,0,71,30,70,22,7,74,21,2,0,0,0,11,65,2,49,0,0,43,11,0,0,1,38,7,1,9,15,1,0,8,4,1,14,2,16,0,1,1,1,1,2,0,1,0,0,0,4,0,4,2,0,2,0,3,0,0,0,0,2,0,4,0,0,0,17,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
